Sample in Buffer,Sample in Window,TRIGGER,w_accum_data[47:0],w_rom_data[15:0],o_led_OBUF[9:9],w_count[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
394,394,0,0011eafce58a,085a,0,1cd
395,395,0,0011eafd3c80,0dcb,0,1ce
396,396,0,0011eafd44da,2e18,0,1cf
397,397,0,0011eafd52a5,de00,0,1d0
398,398,0,0011eafd80bd,bd42,0,1d1
399,399,0,0011eafd5ebd,1434,0,1d2
400,400,0,0011eafd1bff,5dec,0,1d3
401,401,0,0011eafd3033,e822,0,1d4
402,402,0,0011eafd8e1f,9cd4,0,1d5
403,403,0,0011eafd7641,f19f,0,1d6
404,404,0,0011eafd1315,ccd8,0,1d7
405,405,0,0011eafd04b4,e6c1,0,1d8
406,406,0,0011eafcd18c,5557,0,1d9
407,407,0,0011eafcb84d,e754,0,1da
408,408,0,0011eafd0da4,e3e2,0,1db
409,409,0,0011eafcf4f8,dc46,0,1dc
410,410,0,0011eafcd8da,a3e7,0,1dd
411,411,0,0011eafcb520,c297,0,1de
412,412,0,0011eafc5907,9639,0,1df
413,413,0,0011eafc1b9e,edec,0,1e0
414,414,0,0011eafbb1d7,c1dd,0,1e1
415,415,0,0011eafb9fc3,cc2c,0,1e2
416,416,0,0011eafb61a0,ecc3,0,1e3
417,417,0,0011eafb2dcc,9e84,0,1e4
418,418,0,0011eafb1a8f,febc,0,1e5
419,419,0,0011eafab913,34d7,0,1e6
420,420,0,0011eafab7cf,be5a,0,1e7
421,421,0,0011eafaeca6,48fa,0,1e8
422,422,0,0011eafaab00,92f7,0,1e9
423,423,0,0011eafaf3fa,e4d5,0,1ea
424,424,0,0011eafa86f1,80de,0,1eb
425,425,0,0011eafa6bc6,b87e,0,1ec
426,426,0,0011eaf9eca4,8055,0,1ed
427,427,0,0011eaf9a522,b06e,0,1ee
428,428,0,0011eaf92577,a479,0,1ef
429,429,0,0011eaf8d5e5,c4a0,0,1f0
430,430,0,0011eaf87a5e,acc5,0,1f1
431,431,0,0011eaf83efe,a37e,0,1f2
432,432,0,0011eaf7ebc3,1950,0,1f3
433,433,0,0011eaf78f41,66ab,0,1f4
434,434,0,0011eaf7a891,707b,0,1f5
435,435,0,0011eaf80f3c,b89f,0,1f6
436,436,0,0011eaf87fb7,fb90,0,1f7
437,437,0,0011eaf83856,e042,0,1f8
438,438,0,0011eaf833e6,0616,0,1f9
439,439,0,0011eaf81428,c3ce,0,1fa
440,440,0,0011eaf81a3e,917f,0,1fb
441,441,0,0011eaf7de0c,efb3,0,1fc
442,442,0,0011eaf76f8b,ac81,0,1fd
443,443,0,0011eaf75f3e,86ae,0,1fe
444,444,0,0011eaf70bbf,7465,0,1ff
445,445,0,0011eaf6926d,ee3b,0,200
446,446,0,0011eaf706d2,7628,0,201
447,447,0,0011eaf6f50d,432d,0,202
448,448,0,0011eaf76b35,81e1,0,203
449,449,0,0011eaf7ae62,2e17,0,204
450,450,0,0011eaf73043,34b9,0,205
451,451,0,0011eaf75e5a,2527,0,206
452,452,0,0011eaf79313,0d64,0,207
453,453,0,0011eaf7b83a,b7d5,0,208
454,454,0,0011eaf7c59e,45b9,0,209
455,455,0,0011eaf77d73,ba60,0,20a
456,456,0,0011eaf7c32c,def0,0,20b
457,457,0,0011eaf77d8c,6413,0,20c
458,458,0,0011eaf75c7c,5b3b,0,20d
459,459,0,0011eaf7c08f,e705,0,20e
460,460,0,0011eaf81bca,d169,0,20f
461,461,0,0011eaf802cf,1bcf,0,210
462,462,0,0011eaf7d438,6902,0,211
463,463,0,0011eaf7f007,68ba,0,212
464,464,0,0011eaf85909,1772,0,213
465,465,0,0011eaf8c1c3,d523,0,214
466,466,0,0011eaf8d935,5a62,0,215
467,467,0,0011eaf8ae58,f140,0,216
468,468,0,0011eaf908ba,6783,0,217
469,469,0,0011eaf8f9fa,887e,0,218
470,470,0,0011eaf9617d,084d,0,219
471,471,0,0011eaf8e9fb,376c,0,21a
472,472,0,0011eaf8f248,ade6,0,21b
473,473,0,0011eaf929b4,d627,0,21c
474,474,0,0011eaf8d79a,b00d,0,21d
475,475,0,0011eaf8adc1,d269,0,21e
476,476,0,0011eaf85dce,e763,0,21f
477,477,0,0011eaf83037,0c6e,0,220
478,478,0,0011eaf8179a,8c7a,0,221
479,479,0,0011eaf82408,0d7f,0,222
480,480,0,0011eaf7b082,c65a,0,223
481,481,0,0011eaf7be01,bdd3,0,224
482,482,0,0011eaf7845b,be3e,0,225
483,483,0,0011eaf7422e,a776,0,226
484,484,0,0011eaf7006c,74d7,0,227
485,485,0,0011eaf6a7e2,6f87,0,228
486,486,0,0011eaf71cb9,5197,0,229
487,487,0,0011eaf78c40,3a6f,0,22a
488,488,0,0011eaf7ddd7,ad01,0,22b
489,489,0,0011eaf81846,dc41,0,22c
490,490,0,0011eaf7c547,b054,0,22d
491,491,0,0011eaf7a188,804e,0,22e
492,492,0,0011eaf751dc,d100,0,22f
493,493,0,0011eaf6d22a,331a,0,230
494,494,0,0011eaf6a32a,2010,0,231
495,495,0,0011eaf6d644,0b06,0,232
496,496,0,0011eaf6f654,f064,0,233
497,497,0,0011eaf7015a,c994,0,234
498,498,0,0011eaf6f1be,006c,0,235
499,499,0,0011eaf6bb52,42f4,0,236
500,500,0,0011eaf6bbbe,432d,0,237
501,501,0,0011eaf6feb2,1378,0,238
502,502,0,0011eaf741df,3f66,0,239
503,503,0,0011eaf75557,2541,0,23a
504,504,0,0011eaf794bd,9f8b,0,23b
505,505,0,0011eaf7b9fe,0120,0,23c
506,506,0,0011eaf75989,d8e6,0,23d
507,507,0,0011eaf75aa9,9796,0,23e
508,508,0,0011eaf7338f,a5d9,0,23f
509,509,0,0011eaf6cb25,b2bb,0,240
